MUNICPIOS,ENE-DIC 2013,ENE-DIC 2014,ENE-DIC 2015,ENE-DIC 2016,ENE-DIC 2017,ENE-DIC 2018,ENE-MAR 2019,Delito
ACATIC,0,4,4,3,2,5,1,abuso sexual
ACATLAN DE JUAREZ,9,2,4,3,9,5,1,abuso sexual
AHUALULCO DE MERCADO,2,1,3,3,4,4,0,abuso sexual
AMACUECA,0,0,0,2,0,0,0,abuso sexual
AMATITAN,2,3,0,1,1,4,2,abuso sexual
AMECA,19,9,13,13,12,10,2,abuso sexual
ARANDAS,6,12,11,14,12,16,4,abuso sexual
ATEMAJAC DE BRIZUELA,0,0,2,0,0,0,0,abuso sexual
ATENGO,0,1,0,0,0,1,0,abuso sexual
ATENGUILLO,0,0,1,0,1,1,0,abuso sexual
ATOTONILCO EL ALTO,3,1,8,7,4,9,4,abuso sexual
ATOYAC,3,1,1,1,0,2,1,abuso sexual
AUTLAN DE NAVARRO,13,26,14,26,24,25,5,abuso sexual
AYOTLAN,0,0,1,4,5,3,1,abuso sexual
AYUTLA,3,2,2,3,1,1,1,abuso sexual
BOLAÑOS,2,0,0,0,2,0,1,abuso sexual
CABO CORRIENTES,3,2,2,0,4,5,1,abuso sexual
CAÑADAS DE OBREGON,0,0,1,0,0,1,0,abuso sexual
CASIMIRO CASTILLO,1,9,7,8,1,6,0,abuso sexual
CHAPALA,5,9,10,15,24,13,2,abuso sexual
CHIMALTITAN,0,0,0,1,1,0,0,abuso sexual
CHIQUILISTLAN,0,2,0,0,1,0,0,abuso sexual
CIHUATLAN,10,12,12,14,16,21,1,abuso sexual
COCULA,3,10,4,6,7,10,1,abuso sexual
COLOTLAN,5,2,2,8,9,7,0,abuso sexual
CONCEPCION DE BUENOS AIRES,0,1,0,0,3,0,0,abuso sexual
CUAUTITLAN DE GARCIA BARRAGAN,5,1,5,4,7,3,1,abuso sexual
CUAUTLA,0,1,1,1,0,0,0,abuso sexual
CUQUIO,0,2,2,1,4,3,0,abuso sexual
DEGOLLADO,0,1,1,0,4,1,0,abuso sexual
EJUTLA,0,0,0,0,1,0,0,abuso sexual
EL ARENAL,4,0,3,5,4,6,1,abuso sexual
EL GRULLO,6,7,5,5,11,6,6,abuso sexual
EL LIMON,1,0,0,1,2,2,0,abuso sexual
EL SALTO,46,44,44,59,70,51,13,abuso sexual
ENCARNACION DE DIAZ,13,10,5,8,6,8,1,abuso sexual
ETZATLAN,0,1,1,2,2,3,1,abuso sexual
GOMEZ FARIAS,0,1,2,3,7,2,0,abuso sexual
GUACHINANGO,0,1,1,0,0,0,0,abuso sexual
GUADALAJARA,242,251,289,477,446,353,116,abuso sexual
HOSTOTIPAQUILLO,0,0,1,2,1,1,3,abuso sexual
HUEJUCAR,0,2,0,1,0,4,1,abuso sexual
HUEJUQUILLA EL ALTO,1,0,1,1,2,0,0,abuso sexual
IXTLAHUACAN DE LOS MEMBRILLOS,5,13,20,32,22,22,6,abuso sexual
IXTLAHUACAN DEL RIO,0,3,1,1,2,3,5,abuso sexual
JALOSTOTITLAN,6,4,6,5,6,4,1,abuso sexual
JAMAY,0,1,2,4,6,2,2,abuso sexual
JESUS MARIA,2,2,1,1,2,2,0,abuso sexual
JILOTLAN DE LOS DOLORES,0,1,0,0,0,1,0,abuso sexual
JOCOTEPEC,3,3,7,9,12,12,1,abuso sexual
JUANACATLAN,1,2,2,6,4,5,2,abuso sexual
JUCHITLAN,0,1,0,0,0,1,0,abuso sexual
LA BARCA,5,1,2,3,3,13,4,abuso sexual
LA HUERTA,6,5,4,4,8,5,2,abuso sexual
LA MANZANILLA DE LA PAZ,0,2,0,0,1,0,0,abuso sexual
LAGOS DE MORENO,21,27,26,20,32,24,6,abuso sexual
MAGDALENA,2,6,2,0,5,5,1,abuso sexual
MASCOTA,6,2,3,1,2,2,0,abuso sexual
MAZAMITLA,3,1,4,1,1,2,1,abuso sexual
MEXTICACAN,1,0,1,1,0,1,0,abuso sexual
MEZQUITIC,2,2,4,5,7,3,2,abuso sexual
MIXTLAN,0,0,0,0,2,2,0,abuso sexual
OCOTLAN,18,12,21,23,16,17,4,abuso sexual
OJUELOS DE JALISCO,4,4,1,3,1,7,2,abuso sexual
PIHUAMO,0,0,1,2,0,1,0,abuso sexual
PONCITLAN,1,4,7,8,17,5,2,abuso sexual
PUERTO VALLARTA,106,106,102,95,113,140,29,abuso sexual
QUITUPAN,1,0,0,0,1,1,0,abuso sexual
SAN CRISTOBAL DE LA BARRANCA,0,2,0,2,2,2,0,abuso sexual
SAN DIEGO DE ALEJANDRIA,0,0,0,0,0,0,0,abuso sexual
SAN GABRIEL,2,2,1,2,2,2,0,abuso sexual
SAN IGNACIO CERRO GORDO,1,3,2,1,3,1,1,abuso sexual
SAN JUAN DE LOS LAGOS,19,12,8,13,13,14,4,abuso sexual
SAN JUANITO DE ESCOBEDO,1,4,1,4,1,0,1,abuso sexual
SAN JULIAN,2,5,0,1,2,0,0,abuso sexual
SAN MARCOS,1,0,1,0,0,0,0,abuso sexual
SAN MARTIN DE BOLAÑOS,1,3,1,0,0,1,0,abuso sexual
SAN MARTIN DE HIDALGO,1,7,2,3,7,3,2,abuso sexual
SAN MIGUEL EL ALTO,5,7,9,3,7,4,3,abuso sexual
SAN PEDRO TLAQUEPAQUE,108,113,134,226,181,171,53,abuso sexual
SAN SEBASTIAN DEL OESTE,2,0,0,0,0,0,0,abuso sexual
SANTA MARIA DE LOS ANGELES,1,0,0,1,1,1,0,abuso sexual
SANTA MARIA DEL ORO,0,0,0,0,1,0,0,abuso sexual
SAYULA,4,5,6,10,2,2,1,abuso sexual
TALA,16,13,19,22,22,27,11,abuso sexual
TALPA DE ALLENDE,2,2,6,0,6,5,0,abuso sexual
TAMAZULA DE GORDIANO,6,10,9,8,9,6,0,abuso sexual
TAPALPA,0,1,1,3,1,3,3,abuso sexual
TECALITLAN,3,1,0,0,1,1,0,abuso sexual
TECHALUTA DE MONTENEGRO,0,0,0,0,2,1,0,abuso sexual
TECOLOTLAN,3,4,2,7,5,6,2,abuso sexual
TENAMAXTLAN,2,1,1,0,1,2,0,abuso sexual
TEOCALTICHE,6,6,3,6,6,2,4,abuso sexual
TEOCUITATLAN DE CORONA,0,0,2,0,1,1,0,abuso sexual
TEPATITLAN DE MORELOS,26,36,27,34,30,27,4,abuso sexual
TEQUILA,7,11,9,10,16,10,2,abuso sexual
TEUCHITLAN,0,0,3,1,0,0,1,abuso sexual
TIZAPAN EL ALTO,1,2,4,6,5,2,0,abuso sexual
TLAJOMULCO DE ZUÑIGA,118,132,159,213,246,219,52,abuso sexual
TOLIMAN,1,2,0,0,0,3,0,abuso sexual
TOMATLAN,8,18,10,10,7,9,2,abuso sexual
TONALA,77,100,113,205,164,119,49,abuso sexual
TONAYA,0,1,0,0,1,0,0,abuso sexual
TONILA,1,3,2,1,0,0,0,abuso sexual
TOTATICHE,1,0,0,0,0,2,1,abuso sexual
TOTOTLAN,2,2,3,3,4,5,1,abuso sexual
TUXCACUESCO,0,1,0,1,1,2,0,abuso sexual
TUXCUECA,0,1,1,0,1,4,0,abuso sexual
TUXPAN,2,9,11,8,5,4,2,abuso sexual
UNION DE SAN ANTONIO,2,1,1,4,1,2,1,abuso sexual
UNION DE TULA,3,2,2,2,3,7,0,abuso sexual
VALLE DE GUADALUPE,3,5,0,0,3,1,0,abuso sexual
VALLE DE JUAREZ,1,0,1,0,2,0,0,abuso sexual
VILLA CORONA,2,2,0,3,9,5,0,abuso sexual
