MUNICIPIOS,Extensión Territorial (km2),Población 2015,Densidad de Población (hab/km2)
ACATIC,339.2,21530,63.5
ACATLAN DE JUAREZ,153.3,22261,145.2
AHUALULCO DE MERCADO,274.1,23362,85.2
AMACUECA,125.2,5385,43
AMATITAN,173.6,15344,88.4
AMECA,837.8,60951,72.8
SAN JUANITO DE ESCOBEDO,194.5,9420,48.4
ARANDAS,942,77116,81.9
EL ARENAL,104,19900,191.4
ATEMAJAC DE BRIZUELA,355.5,6717,18.9
ATENGO,441.1,5475,12.4
ATENGUILLO,610.8,3899,6.4
ATOTONILCO EL ALTO,511,60480,118.4
ATOYAC,451.2,8264,18.3
AUTLAN DE NAVARRO,705.9,60572,85.8
AYOTLAN,431.1,37963,88.1
AYUTLA,883.8,12453,14.1
LA BARCA,418.2,65055,155.6
BOLAÑOS,866.8,7341,8.5
CABO CORRIENTES,1540.6,10303,6.7
CASIMIRO CASTILLO,522.5,21584,41.3
CIHUATLAN,494.9,41300,83.5
ZAPOTLAN EL GRANDE,274.2,105423,384.5
COCULA,331,26687,80.6
COLOTLAN,642.6,17865,27.8
CONCEPCION DE BUENOS AIRES,265.4,6088,22.9
CUAUTITLAN DE GARCIA BARRAGAN,1394.3,18138,13
CUAUTLA,417.2,2120,5.1
CUQUIO,642.5,17980,28
CHAPALA,613.4,50738,82.7
CHIMALTITAN,656.3,3383,5.2
CHIQUILISTLAN,297.8,6102,20.5
DEGOLLADO,425,21479,50.5
EJUTLA,297.4,1862,6.3
ENCARNACION DE DIAZ,1253.2,53555,42.7
ETZATLAN,338,19847,58.7
EL GRULLO,177.2,24312,137.2
GUACHINANGO,839,4184,5
GUADALAJARA,151.4,1460148,9643
HOSTOTIPAQUILLO,755.9,9761,12.9
HUEJUCAR,308.9,5633,18.2
HUEJUQUILLA EL ALTO,770.4,8787,11.4
LA HUERTA,2013.7,24563,12.2
IXTLAHUACAN DE LOS MEMBRILLOS,202.4,53045,262.1
IXTLAHUACAN DEL RIO,831.2,19070,22.9
JALOSTOTITLAN,520,33777,65
JAMAY,162.8,24753,152.1
JESUS MARIA,665.2,19469,29.3
JILOTLAN DE LOS DOLORES,1475.1,9917,6.7
JOCOTEPEC,334.4,46521,139.1
JUANACATLAN,138.3,17955,129.8
JUCHITLAN,246.4,5638,22.9
LAGOS DE MORENO,2516.7,164981,65.6
EL LIMON,114.3,5379,47.1
MAGDALENA,293.2,22643,77.2
SANTA MARIA DEL ORO,775,2028,2.6
LA MANZANILLA DE LA PAZ,134.7,3688,27.4
MASCOTA,1844.3,14477,7.8
MAZAMITLA,288.8,13799,47.8
MEXTICACAN,287.5,5088,17.7
MEZQUITIC,3360.7,19452,5.8
MIXTLAN,630.2,3526,5.6
OCOTLAN,242.5,99461,410.2
OJUELOS DE JALISCO,1165.8,32357,27.8
PIHUAMO,875.4,11192,12.8
PONCITLAN,835.9,51944,62.1
PUERTO VALLARTA,680.3,275640,405.2
VILLA PURIFICACION,1848.7,10704,5.8
QUITUPAN,676.5,8379,12.4
EL SALTO,87.9,183437,2087.8
SAN CRISTOBAL DE LA BARRANCA,521.5,3117,6
SAN DIEGO DE ALEJANDRIA,352.5,7349,20.8
SAN JUAN DE LOS LAGOS,847.7,69725,82.3
SAN JULIAN,262.1,15890,60.6
SAN MARCOS,305.9,3783,12.4
SAN MARTIN DE BOLAÑOS,690.7,3122,4.5
SAN MARTIN HIDALGO,344.2,27777,80.7
SAN MIGUEL EL ALTO,787.1,32960,41.9
GOMEZ FARIAS,353.7,14278,40.4
SAN SEBASTIAN DEL OESTE,1117.1,5643,5.1
SANTA MARIA DE LOS ANGELES,259,3033,11.7
SAYULA,215.9,36778,170.3
TALA,412.3,80365,194.9
TALPA DE ALLENDE,1996,15126,7.6
TAMAZULA DE GORDIANO,1363.7,38396,28.2
TAPALPA,619.5,19506,31.5
TECALITLAN,1300.7,16579,12.7
TECOLOTLAN,765.8,17257,22.5
TECHALUTA DE MONTENEGRO,79.4,3703,46.6
TENAMAXTLAN,281.6,7005,24.9
TEOCALTICHE,933.9,41278,44.2
TEOCUITATLAN DE CORONA,335.6,10317,30.7
TEPATITLAN DE MORELOS,1388,141322,101.8
TEQUILA,1696.2,42009,24.8
TEUCHITLAN,219.2,9608,43.8
TIZAPAN EL ALTO,193.6,20961,108.3
TLAJOMULCO DE ZUÑIGA,714,549442,769.6
TLAQUEPAQUE,110.4,664193,6014
TOLIMAN,512.2,10310,20.1
TOMATLAN,3014.1,35824,11.9
TONALA,166.1,536111,3227.6
TONAYA,293.9,5960,20.3
TONILA,144.4,7919,54.8
TOTATICHE,587.4,4412,7.5
TOTOTLAN,337.1,23171,68.7
TUXCACUESCO,428.8,4229,9.9
TUXCUECA,137.8,6156,44.7
TUXPAN,726.4,34535,47.5
UNION DE SAN ANTONIO,728.5,17915,24.6
UNION DE TULA,443.6,13446,30.3
VALLE DE GUADALUPE,351.7,6924,19.7
VALLE DE JUAREZ,195.6,5389,27.5
SAN GABRIEL,747.4,16105,21.5
VILLA CORONA,318,17824,56
VILLA GUERRERO,673.4,5417,8
VILLA HIDALGO,452,20257,44.8
CAÑADAS DE OBREGON,272.3,4110,15.1
YAHUALICA DE GONZALEZ GALLO,563.4,22586,40.1
ZACOALCO DE TORRES,479.8,28205,58.8
ZAPOPAN,1163.6,1332272,1144.9
ZAPOTILTIC,252.8,29190,115.5
ZAPOTITLAN DE VADILLO,305.8,7027,23
ZAPOTLAN DEL REY,399.8,17893,44.8
ZAPOTLANEJO,719.5,68519,95.2
SAN IGNACIO CERRO GORDO,225,18952,84.2
